# id,cle MSI_*  --  extrait de g_MsgStringSymbolNames (0x0104F0A8) de l'exe VANILLA 20250716.
# 4355 entrees (0..4354). C'est CETTE table qui donne l'id d'une cle, PAS le numero
# de ligne de data\msgstringtable.csv : le csv livre a 4360 lignes et diverge des l'id 4075.
# Genere par tools/lang/gen_msgstring.py --ids (dump IDA).
150,MSI_NO_RECEIVE_MODE_FOR_ALL
151,MSI_SUCCESS_DISCONNECT_CHARACTER
152,MSI_FAIL_DISCONNECT_CHARACTER
153,MSI_GET_ITEM
154,MSI_EXPLAIN_TIP7
155,MSI_EXPLAIN_TIP8
156,MSI_EXPLAIN_TIP9
157,MSI_EXPLAIN_TIP10
158,MSI_EXPLAIN_TIP11
159,MSI_NOT_ENOUGH_SKILLLEVE1
160,MSI_NOT_ENOUGH_SKILLLEVE2
161,MSI_NOT_ENOUGH_SKILLLEVE3
162,MSI_NOT_ENOUGH_SKILLLEVE4
163,MSI_NOT_ENOUGH_SKILLLEVE5
164,MSI_NOT_ENOUGH_SKILLLEVE6
165,MSI_NOT_ENOUGH_SKILLLEVE7
166,MSI_ITEMS_FOR_BUY
167,MSI_ITEM_STORE
168,MSI_ITEMS_FOR_SELL
169,MSI_ITEMS_THAT_IS_STORED
170,MSI_ITEM_IS_EQUIPED
171,MSI_ITEM_IS_REMOVED
172,MSI_ADD_TO_WHISPER_CHAR_LIST
173,MSI_EXPLAIN_TIP12
174,MSI_TIPOFTHEDAY
175,MSI_DIDYOUKNOW
176,MSI_SHOWTIPSATSTARTUP
177,MSI_EXPLAIN_OPENTIP
178,MSI_NUMPEOPLE
179,MSI_USERGETINTHEROOM
180,MSI_USERGETOUTOFTHEROOM
181,MSI_USERGETOUTOFTHEROOMBYFORCE
182,MSI_EA
183,MSI_EA2
184,MSI_EA3
185,MSI_ITEMSYOUCANSELL
186,MSI_SHOPITEMS
187,MSI_NOWHERE
188,MSI_CLIENTTYPEMISMATCH
189,MSI_CLOSEEQUIPWND
190,MSI_ENGLISHONLY
191,MSI_NOTSUPPORTEDYET
192,MSI_NOWHISPERLIST
193,MSI_WHISPERIGNORESUCCESS
194,MSI_WHISPERIGNOREFAILED1
195,MSI_WHISPERIGNOREFAILED2
196,MSI_WHISPERNOIGNORESUCCESS
197,MSI_WHISPERNOIGNOREFAILED1
198,MSI_WHISPERNOIGNOREFAILED2
199,MSI_NO_SPACE_IN_NAME
200,MSI_ROOM_PRIVATE2
201,MSI_ROOM_PUBLIC2
202,MSI_USESKILL_FAIL_SP_INSUFFICIENT
203,MSI_USESKILL_FAIL_HP_INSUFFICIENT
204,MSI_NOT_ENOUGH_SKILLLEVE8
205,MSI_FAIL_STEAL
206,MSI_EXCHANGE
207,MSI_FAIL_POISON
208,MSI_ID_MISMATCH
209,MSI_SPEEDUP
210,MSI_SPEEDDOWN
211,MSI_EXPLAIN_TIP13
212,MSI_RANDOM_POS
213,MSI_SELECTWHERETOWARP
214,MSI_NOTENOUGHSKILLLEVEL
215,MSI_NO_STORED_PLACE_TO_WARP
216,MSI_NOWARPSKILL
217,MSI_WARPPOINTSTORED
218,MSI_CANCEL
219,MSI_SKILLINTERVAL
220,MSI_CANT_GET_ITEM_BECAUSE_COUNT
221,MSI_INSUFFICIENT_OVER_COUNT
222,MSI_MERCHANTITEM
223,MSI_CARTOFF
224,MSI_MERCHANTSHOPMAKER
225,MSI_ENTER_SHOP_TITLE
226,MSI_ITEM_MY_STORE
227,MSI_ITEM_MERCHANT_STORE
228,MSI_ITEMS_FOR_BUY_FROM_MERCHANT
229,MSI_FAIL_BUY_ITEM_FROM_MERCHANT
230,MSI_INSUFFICIENT_STOCK
231,MSI_ITEM_IS_SOLD
232,MSI_MERCHANTMIRRORITEM
233,MSI_SKILL_FAIL_MONEY
234,MSI_SELECTTARGET
235,MSI_EXPLAIN_TIP14
236,MSI_STREETSHOP
237,MSI_OPENCARTWINDOW
238,MSI_BASICINFOWND
239,MSI_USESKILL_FAIL_NOT_SUITABLE_WEAPON
240,MSI_FAIL_BUY_ITEM_FROM_MERCHANT_NO_STOCK
241,MSI_SPEEDHACK
242,MSI_ERR_ATTACK_ARROW
243,MSI_ERR_ATTACK_WEIGHT
244,MSI_ERR_SKILL_WEIGHT
245,MSI_MSG_ARROW_EQUIPMENT_SUCCESS
246,MSI_NEED_REDJAMSTONE
247,MSI_NEED_BLUEJAMSTONE
248,MSI_DESC_STR
249,MSI_DESC_AGI
250,MSI_DESC_VIT
251,MSI_DESC_INT
252,MSI_DESC_DEX
253,MSI_DESC_LUK
254,MSI_DESC_ATK
255,MSI_DESC_DEF
256,MSI_DESC_HIT
257,MSI_DESC_CRI
258,MSI_DESC_GUILD
259,MSI_DESC_POINT
260,MSI_DESC_MATK
261,MSI_DESC_MDEF
262,MSI_DESC_FLEE
263,MSI_DESC_ASPD
264,MSI_PC_OVERFLOW
265,MSI_OPTIONWND
266,MSI_ID_EMAIL_CONFIRM_NEEDED
267,MSI_INCORRECT_LOGIN_PASSWORD
268,MSI_SELECT_HAIR_STYLE
269,MSI_ATK
270,MSI_DEF
271,MSI_ATTACK_SNAP_ON
272,MSI_ATTACK_SNAP_OFF
273,MSI_SKILL_SNAP_ON
274,MSI_SKILL_SNAP_OFF
275,MSI_EXPLAIN_SNAP
276,MSI_ITEM_SNAP_ON
277,MSI_ITEM_SNAP_OFF
278,MSI_SNAP
279,MSI_CANT_GET_ITEM_OVERCOUNT_ONEITEM
280,MSI_CANT_DELETE_CHARACTER_OVER_30_LEVEL
281,MSI_FAIL_BUY_ITEM_ITEM_EXCHANGING
282,MSI_STALL_NAME
283,MSI_SKILLLIST
284,MSI_SKILLPOINT
285,MSI_USESKILL_FAIL
286,MSI_PASSIVE
287,MSI_EXPDIV1
288,MSI_EXPDIV2
289,MSI_ITEMCOLLECT1
290,MSI_ITEMCOLLECT2
291,MSI_PARTYSETTING
292,MSI_HOWEXPDIV
293,MSI_HOWITEMCOLLECT
294,MSI_ONLY_PARTYMASTER
295,MSI_NOQUESTION_ITEMCOUNT
296,MSI_CHARARATER_DELETE_COUNT
297,MSI_MAXEXCHANGE_IS_10_KIND
298,MSI_LIMIT_AGE
299,MSI_ENTER_EMAIL
300,MSI_ENTER_EMAIL_TOOLTIP
301,MSI_CANNOT_DELETE_CHARACTER_EMAIL
302,MSI_ENTER_PEOPLE_REG_NUMBER
303,MSI_CANNOT_DELETE_CHARACTER_PEOPLE_REG_NUMBER
304,MSI_CANT_SELL_OVER_15
305,MSI_UNDER_AGE
306,MSI_NO_RECOVER_OVERWEIGHT
307,MSI_NO_ATTACK_OVERWEIGHT
308,MSI_NO_RECOVER_OVERWEIGHT_RELEASED
309,MSI_NO_ATTACK_OVERWEIGHT_RELEASED
310,MSI_INVALID_VERSION
311,MSI_ITEM_IS_SOLD_OUT
312,MSI_WRITE_CHAT_TO_FILE
313,MSI_EXPLAIN_SAVE_CHAT
314,MSI_MAKEACCOUNT
315,MSI_REQ_EX_LIST
316,MSI_REQ_IN
317,MSI_MISS_EFFECT_ON
318,MSI_MISS_EFFECT_OFF
319,MSI_FIXED_CAMERA_ON
320,MSI_FIXED_CAMERA_OFF
321,MSI_EXPLAIN_CAMERA_MISS
322,MSI_SEE_INFORMATION_OF_SKILL
323,MSI_CHANGE_SKILL_NAME
324,MSI_SPRITE_RESOLUTION
325,MSI_TEXTURE_RESOLUTION
326,MSI_DETAILLEVELWND
327,MSI_GET_ZENY
328,MSI_GUILDNAME
329,MSI_GUILDLEVEL
330,MSI_GUILD_MASTER_NAME
331,MSI_GUILD_NUM_MEMBER
332,MSI_GUILD_AVG_MEMBER_LEVEL
333,MSI_GUILD_MANAGE_LAND
334,MSI_GUILD_FAIR
335,MSI_GUILD_EXP
336,MSI_GUILD_EMBLEM
337,MSI_GUILD_POINT
338,MSI_ALLY_GUILD
339,MSI_HOSTILITY_GUILD
340,MSI_GUILDINFOMANAGE
341,MSI_GUILDMEMBERMANAGE
342,MSI_GUILDPOSITIONMANAGE
343,MSI_GUILDSKILL
344,MSI_GUILDBANISHEDMEMBER
345,MSI_GUILDNOTICE
346,MSI_GUILDTOTALINFO
347,MSI_WHISPERLISTWND
348,MSI_OPENWHISPERLISTWND
349,MSI_EXPLAIN_WHISPER_LIST_WND
350,MSI_AUTOOPENWHISPERLISTWND
351,MSI_DELETE
352,MSI_DONTOPEN
353,MSI_LAST_LOGIN_TIME
354,MSI_LAST_LOGIN_IP
355,MSI_FRIEND_SETTING
356,MSI_DO_YOU_REALLY_WANT_DELETE
357,MSI_DO_YOU_REALLY_WANT_LEAVE
358,MSI_ADD_TO_FRIEND_CHAR_LIST
359,MSI_AUTOOPENWHISPERLISTWND_FRIEND
